"CAS番号","物質名","安衛法","皮膚等障害","がん原性","濃度基準値","安衛法危険物","特化則","特別管理物質","有機則","鉛則","粉じん則","化管法","毒劇法","消防法品名","化審法","大防法","水濁法有害物質","土対法","女性則","備考","出所"
"100-52-7","ベンズアルデヒド","対象物","","","","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"100-53-8","ベンジルメルカプタン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"100-54-9","３－シアノピリジン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"100-61-8","Ｎ－メチルアニリン","対象物","該当","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"100-63-0","フェニルヒドラジン","対象物","該当","該当","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"100-66-3","アニソール","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"100-68-5","メチルフェニルスルフィド","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"100-69-6","２－ビニルピリジン","対象物","該当","","","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"100-70-9","２－シアノピリジン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"100-74-3","４－エチルモルホリン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"100-75-4","１－ニトロソピペリジン","対象物","","該当","","","","","","","","","","","","","","","","","NITE-CHRIP"
"100-86-7","２－メチル－１－フェニルプロパン－２－オール","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"100-97-0","１，３，５，７－テトラアザアダマンタン","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"101-02-0","トリフェニルホスファイト","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"101-05-3","４，６－ジクロロ－Ｎ－（２－クロロフェニル）－１，３，５－トリアジン－２－アミン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"101-21-3","Ｎ－（３－クロロフェニル）カルバミン酸イソプロピル","対象物","","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"101-25-7","３，７－ジニトロソ－１，３，５，７－テトラアザビシクロ［３．３．１］ノナン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"101-27-9","４－クロロブタ－２－イン－１－イル＝（３－クロロフェニル）カルバマート","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"101-37-1","２，４，６－トリアリロキシ－１，３，５－トリアジン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"101-43-9","シクロヘキシル＝メタクリラート","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"101-54-2","Ｎ－フェニル－１，４－フェニレンジアミン","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"101-61-1","Ｎ，Ｎ，Ｎ’，Ｎ’－テトラメチル－４，４’－メチレンジアニリン","対象物","","該当","","","","","","","","","","","","","","","","","NITE-CHRIP"
"101-72-4","Ｎ－イソプロピル－Ｎ’－フェニルベンゼン－１，４－ジアミン","対象物","該当","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"101-77-9","４，４’－メチレンジアニリン","対象物","該当","該当","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"101-80-4","４，４’－オキシジアニリン","対象物","該当","該当","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"101-83-7","ジシクロヘキシルアミン","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"101-84-8","フェノキシベンゼン","対象物","","","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"101-86-0","２－ベンジリデンオクタナール","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"101-90-6","１，３－ビス（オキシラン－２－イルメトキシ）ベンゼン","対象物","該当","該当","","","","","","","","","","","","","","","","","NITE-CHRIP"
"102-06-7","１，３－ジフェニルグアニジン","対象物","","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"102-08-9","Ｎ，Ｎ’－ジフェニルチオ尿素","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"102-09-0","炭酸ジフェニル","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"102-27-2","Ｎ－エチル－３－メチルアニリン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"102-36-3","イソシアン酸－３，４－ジクロロフェニル","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"102-54-5","ジシクロペンタジエニル鉄","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"102-69-2","トリプロピルアミン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"102-70-5","トリアリルアミン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"102-71-6","トリエタノールアミン","対象物","該当","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"102-77-2","Ｎ－オキシジエチレンベンゾチアゾリルスルフェンアミド","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"102-81-8","２－（ジ－ｎ－ブチルアミノ）エタノール","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"102-82-9","トリブタン－１－イルアミン","対象物","","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"103-11-7","アクリル酸２－エチルヘキシル","対象物","該当","","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"103-23-1","アジピン酸ビス（２－エチルヘキシル）","対象物","","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"103-33-3","ジフェニルジアゼン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"103-44-6","３－［（ビニルオキシ）メチル］ヘプタン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"103-50-4","ジベンジルエーテル","対象物","","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"103-60-6","２－フェノキシエチル＝イソブチラート","対象物","","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"103-63-9","フェニルエチルブロマイド","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"103-64-0","β－ブロモスチレン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"103-65-1","プロピルベンゼン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"103-69-5","Ｎ－エチルアニリン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"103-71-9","フェニルイソシアネート","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"103-73-1","フェネトール","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"103-83-3","Ｎ，Ｎ－ジメチルベンジルアミン","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"103-84-4","アセトアニリド","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"103-90-2","４’－ヒドロキシアセトアニリド","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"103-95-7","２－メチル－３－（ｐ－イソプロピルフェニル）プロピオンアルデヒド","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"104-15-4","ｐ－トルエンスルホン酸","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"104-51-8","ｎ－ブチルベンゼン","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"104-55-2","３－フェニルアクリルアルデヒド","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"104-75-6","２－エチルヘキシルアミン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"104-76-7","２－エチルヘキサン－１－オール","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"104-78-9","Ｎ，Ｎ－ジエチルプロパン－１，３－ジアミン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"104-82-5","１－（クロロメチル）－４－メチルベンゼン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"104-83-6","１－クロロ－４－（クロロメチル）ベンゼン","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"104-87-0","ｐ－トリルアルデヒド","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"104-88-1","ｐ－クロロベンズアルデヒド","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"104-90-5","２－メチル－５－エチルピリジン","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"104-94-9","ｐ－アニシジン","対象物","該当","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-05-5","ｐ－ジエチルベンゼン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-06-6","ｐ－ジビニルベンゼン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-11-3","ｐ－ベンゾキノンオキシム","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-16-8","メタクリル酸－２－（ジエチルアミノ）エチル","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-36-2","ブロモ酢酸エチル","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-37-3","プロピオン酸エチル","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-38-4","ビニル＝プロピオナート","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-39-5","エチル＝クロロアセタート","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-45-3","アセト酢酸メチル","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-46-4","酢酸ｓｅｃ－ブチル","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-48-6","クロロ酢酸イソプロピル","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-53-3","マロン酸ジエチル","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-54-4","ブタン酸エチル","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-55-5","１，３－ジエチルチオ尿素","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-57-7","１，１－ジエトキシエタン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-58-8","炭酸ジエチル","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-59-9","Ｎ－メチルジエタノールアミン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-60-2","アゼパン－２－オン","対象物","","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-64-6","ジイソプロピル＝ペルオキシジカルボナート","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-67-9","２，４－ジメチルフェノール","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"105-74-8","ラウロイル＝ペルオキシド","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"105-76-0","ジブチル＝マレアート","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"105-87-3","酢酸ゲラニル","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"105-99-7","アジピン酸ジブチル","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-23-0","シトロネラール","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-24-1","ゲラニオール","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-26-3","シトラール","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-27-4","酪酸イソペンチル　（別名：ブタン酸イソペンチル）","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"106-31-0","無水ラク酸","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-35-4","３－ヘプタノン","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"106-37-6","ｐ－ジブロモベンゼン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-41-2","ｐ－ブロモフェノール","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-42-3","ｐ－キシレン","対象物","該当","","","該当","","","?","","","要確認","","","","","","","","","NITE-CHRIP"
"106-43-4","４－クロロトルエン","対象物","該当","","","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-44-5","ｐ－クレゾール","対象物","該当","","","","","","?","","","要確認","","","","","","","","","NITE-CHRIP"
"106-46-7","１，４－ジクロロベンゼン","対象物","該当","","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-47-8","４－クロロアニリン","対象物","該当","該当","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-48-9","ｐ－クロロフェノール","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-49-0","ｐ－トルイジン","対象物","該当","","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-50-3","ｐ－フェニレンジアミン","対象物","該当","","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-51-4","ｐ－ベンゾキノン","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-63-8","イソブチル＝アクリラート","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"106-65-0","こはく酸ジメチル","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-68-3","オクタン－３－オン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"106-74-1","２－エトキシエチル＝アクリラート","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-75-2","２，２’－オキシジエチルビス（クロロホルマート）","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-87-6","４－オキシラニル－１，２－エポキシシクロヘキサン","対象物","該当","該当","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-88-7","２－エチルオキシラン","対象物","該当","","","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-90-1","アクリル酸グリシジル","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"106-91-2","オキシラン－２－イルメチル＝メタクリラート","対象物","該当","該当","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-92-3","１－アリルオキシ－２，３－エポキシプロパン","対象物","該当","","該当","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-93-4","１，２－ジブロモエタン","対象物","該当","該当","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-94-5","１－ブロモプロパン","対象物","","","該当","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"106-95-6","３－ブロモプロパ－１－エン","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"106-96-7","３－ブロモプロピン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"106-98-9","１－ブテン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"106-99-0","１，３－ブタジエン","対象物","","該当","","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-01-7","２－ブテン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-02-8","アクリルアルデヒド","対象物","該当","該当","該当","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-03-9","プロパン－１－チオール","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-04-0","１－ブロモ－２－クロロエタン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-05-1","３－クロロプロパ－１－エン","対象物","該当","該当","該当","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-07-3","２－クロロエタノール","対象物","該当","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-10-8","プロパン－１－アミン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-11-9","アリルアミン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-12-0","プロピオニトリル","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-14-2","クロロアセトニトリル","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-16-4","グリコロニトリル","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-18-6","アリルアルコール","対象物","該当","","該当","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-19-7","２－プロピン－１－オール","対象物","該当","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-20-0","クロロアセトアルデヒド","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-22-2","オキサルアルデヒド","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-25-5","メチルビニルエーテル","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-26-6","ブロミド（エチル）水銀","対象物","該当","","","","?","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-27-7","クロリド（エチル）水銀","対象物","該当","","","","?","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-31-3","ギ酸メチル","対象物","該当","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-39-1","２，４，４－トリメチル－１－ペンテン　［別名　ジイソブチレン］","対象物","","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-40-4","ジイソブチレン","対象物","","","","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-41-5","２－メチル－２，４－ペンタンジオール","対象物","","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-46-0","ヘキサメチルジシロキサン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-49-3","テトラエチル＝ジホスファート","対象物","該当","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-64-2","Ｎ，Ｎ－ジメチル－Ｎ，Ｎ－ジオクタデカン－１－イルアンモニウム＝クロリド","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"107-66-4","ジブチルホスファート","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-70-0","４－メトキシ－４－メチル－２－ペンタノン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-71-1","ｔｅｒｔ－ブチル＝ペルオキシアセタート","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-82-4","１－ブロモ－３－メチルブタン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-83-5","２－メチルペンタン","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-86-8","３－メチル－２－ブテン－１－アール","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-87-9","２－ペンタノン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"107-92-6","酪酸","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-93-7","クロトン酸","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-94-8","３－クロロプロピオン酸","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"107-96-0","β－メルカプトプロピオン酸","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-01-0","Ｎ，Ｎ－ジメチルエタノールアミン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-03-2","１－ニトロプロパン","対象物","該当","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-08-7","２，４－ジメチルペンタン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-11-2","４－メチル－２－ペンタノール","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-18-9","ジイソプロピルアミン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-20-3","イソプロピルエーテル","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-23-6","イソプロピル＝クロロホルマート","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-30-5","無水コハク酸","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-31-6","フラン－２，５－ジオン","対象物","該当","","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"108-32-7","２－オキソ－４－メチル－１，３－ジオキソラン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-38-3","ｍ－キシレン","対象物","該当","","","該当","","","?","","","要確認","","","","","","","","","NITE-CHRIP"
"108-39-4","ｍ－クレゾール","対象物","該当","","","","","","?","","","要確認","","","","","","","","","NITE-CHRIP"
"108-41-8","クロルトルエン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-42-9","ｍ－クロロアニリン","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"108-43-0","ｍ－クロロフェノール","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-44-1","ｍ－トルイジン","対象物","該当","","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"108-45-2","ｍ－フェニレンジアミン","対象物","該当","","該当","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"108-46-3","レゾルシン","対象物","該当","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-48-5","ルチジン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-57-6","ｍ－ジビニルベンゼン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-60-1","ビス（１－メチル－２－クロルエチル）エーテル","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-62-3","メタアルデヒド","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-67-8","１，３，５－トリメチルベンゼン","対象物","","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"108-68-9","３，５－ジメチルフェノール","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-69-0","３，５－ジメチルアニリン","対象物","該当","","該当","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-70-3","１，３，５－トリクロロベンゼン","対象物","該当","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"108-75-8","コリジン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-77-0","２，４，６－トリクロロ－１，３，５－トリアジン","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-78-1","メラミン","対象物","","","","","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"108-82-7","２，６－ジメチルヘプタン－４－オール","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-83-8","２，６－ジメチル－４－ヘプタノン","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-84-9","酢酸１，３－ジメチルブチル","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"108-86-1","ブロモベンゼン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-87-2","メチルシクロヘキサン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-89-4","４－メチルピリジン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-91-8","シクロヘキサン－１－イルアミン","対象物","該当","","該当","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"108-98-5","チオフェノール","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"108-99-6","３－メチルピリジン","対象物","該当","","","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"109-02-4","４－メチルモルホリン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-06-8","２－メチルピリジン","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"109-08-0","２－メチルピラジン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-09-1","２－クロロピリジン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-16-0","エチレンビス（オキシエチレン）＝ジメタクリラート","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"109-21-7","酪酸ブチル","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-27-3","４－［イミノ（２－ニトロソヒドラジノ）メチル］テトラゼン－１－カルボキシミドアミド","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"109-52-4","吉草酸","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"109-53-5","イソブチルビニルエーテル","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-55-7","Ｎ，Ｎ－ジメチルプロパン－１，３－ジアミン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-59-1","２－イソプロポキシエタノール","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-61-5","クロロぎ酸ノルマルプロピル","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-63-7","三フッ化ホウ素ジエチルエーテル　（別名：三フッ化ホウ素エーテルコンプレックス）","対象物","該当","","","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"109-64-8","１，３－ジブロモプロパン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"109-65-9","１－ブロモブタン","対象物","","該当","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-66-0","ペンタン","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-69-3","１－クロロブタン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-70-6","１－ブロモ－３－クロロプロパン","対象物","","該当","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-72-8","ブチルリチウム","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"109-73-9","ｎ－ブチルアミン","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-74-0","ブチロニトリル","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-76-2","ジアミノプロパン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-77-3","マロンニトリル","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"109-79-5","１－ブタンチオール","対象物","該当","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-83-1","２－（メチルアミノ）エタノール","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"109-84-2","ヒドロキシエチルヒドラジン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"109-87-5","ジメトキシメタン","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-89-7","ジエチルアミン","対象物","該当","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-92-2","エトキシエテン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-94-4","ギ酸エチル","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"109-97-7","ピロール","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"110-00-9","フラン","対象物","","","","該当","","","","","","要確認","","","","","","","","","NITE-CHRIP"
"110-01-0","テトラヒドロチオフェン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"110-02-1","チオフェン","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"110-05-4","ジ－ｔｅｒｔ－ブチルペルオキシド","対象物","","","","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"110-12-3","５－メチル－２－ヘキサノン","対象物","","","該当","該当","","","","","","","","","","","","","","","NITE-CHRIP"
"110-13-4","ヘキサン－２，５－ジオン","対象物","","","","","","","","","","","","","","","","","","","NITE-CHRIP"
"110-16-7","マレイン酸","対象物","該当","","","","","","","","","","","","","","","","","","NITE-CHRIP"
